Movie Hebrew name,Movie name,Extra name,Year,Movie type,Grade,Lead actor\ess,Language
הנער,The Kid,,1921,Drama,OK,Charles Chaplin,English
מטרופוליס,Metropolis,,1927,SF,Good,,English
סחיטה,Blackmail,,1929,Thriller,OK,Alfred Hitchcock,English
,The Public Enemy,,1931,Drama,Pass,James Cagney,English
פריקים,Freaks,,1932,Drama,Good,,English
,An Innocent Man,Sagebrush Trail,1933,Western,Less,John Wayne,English
,The Count of Monte Cristo,,1934,Adventure,Less,,English
ניצחון הרצון,Triumph des Willens,Triumph of the Will,1935,Documentry,Bad,,English
39 המדרגות,The 39 Steps,,1935,Thriller,Less,,English
לילה באופרה,A Night at the Opera,,1935,Comedy,Less,Groucho Marx,English
כלתו של פרנקנשטיין,Bride of Frankenstein,,1935,Comedy,OK,,English
,The Woman in Red,,1935,Comedy,Less,,English
הסתערות חיל הפרשים,The Charge of the Light Brigade,,1936,War,OK,Errol Flynn,English
זמנים מודרנים,Modern Times,,1936,Comedy,OK,Charles Chaplin,English
,Shall We Dance,,1937,Musical,Less,Fred Astaire,English
שלגיה ושבעת הגמדים,Snow White and the Seven Dwarfs,,1937,Animated,Good,,English
הגברת נעלמת,The Lady Vanishes,,1938,Thriller,OK,Alfred Hitchcock,English
חלף עם הרוח,Gone With the Wind,,1939,Drama,Good,Vivien Leigh,English
הגיבן מנוטר דאם,The Hunchback of Notre Dame,,1939,Drama,OK,Maureen O'Hara,English
,Nancy Drew and the Hidden Staircase,,1939,Adventure,Less,,English
,The Man in the Iron Mask,,1939,Adventure,Less,,English
הקוסם מארץ עוץ,The Wizard of Oz,,1939,Family,Good,Judy Garland,English
רבקה,Rebecca,,1940,Thriller,OK,Laurence Olivier,English
ענבי הזעם,The Grapes of Wrath,,1940,Thriller,Less,Henry Fonda,English
פנטסיה,Fantasia,,1940,Animated,Good,,English
פינוקיו,Pinocchio,,1940,Animated,Very good,,English
הדיקטטור הגדול,The Great Dictator,,1940,Comedy,OK,Charles Chaplin,English
החנות מעבר לפינה,The Shop Around the Corner,,1940,Comedy,OK,James Stewart,English
האזרח קיין,Citizen Kane,,1941,Drama,OK,Orson Welles,English
דוקטור ג'קיל ומר הייד,Dr. Jekyll and Mr. Hyde,,1941,Drama,OK,Spencer Tracy,English
הרי הסיירה,High Sierra,,1941,Drama,Less,Humphrey Bogart,English
הנץ ממלטה,The Maltese Falcon,,1941,Thriller,Less,Humphrey Bogart,English
אדון וגברת סמית',Mr. & Mrs. Smith,,1941,Action,OK,Carole Lombard,English
קזבלנקה,Casablanca,,1942,Drama,OK,Humphrey Bogart,English
חבלן,Saboteur,,1942,Thriller,Less,,English
במבי,Bambi,,1942,Animated,Very good,,English
,Shadow of a Doubt,,1943,Thriller,Less,,English
שיפוי כפול,Double Indemnity,,1944,Thriller,OK,,English
סירת הצלה,Lifeboat,,1944,Thriller,OK,Alfred Hitchcock,English
,The Seventh Veil,,1945,Drama,Less,,English
בכבלי השכחה,Spellbound,,1945,Thriller,Less,Ingrid Bergman,English
,Story of G.I. Joe,,1945,War,Less,Robert Mitchum,English
נוטוריוס,Notorious,,1946,Drama,OK,Cary Grant,English
לילה בקזבלנקה,A Night in Casablanca,,1946,Comedy,Less,Groucho Marx,English
וולטר מיטי,The Secret Life of Walter Mitty,,1947,Comedy,OK,Danny Kaye,English
,It Had to Be You,,1947,Comedy,OK,Ginger Rogers,English
כולם היו בניי,All My Sons,,1948,Drama,Less,Burt Lancaster,English
גונבי האופניים,Ladri di Biciclette,,1948,Drama,OK,,Italian
האמברסונים המופלאים,The Magnificent Ambersons,,1948,Drama,Less,Orson Welles,English
,The Three Musketeers,,1948,Adventure,Less,Gene Kelly,English
קי לארגו,Key Largo,,1948,Thriller,Less,Humphrey Bogart,English
,Easy Living,,1949,Drama,OK,,English
האדם השלישי,The Third Man,,1949,Thriller,OK,Orson Welles,English
,Tell It to the Judge,,1949,Comedy,OK,,English
,No Way Out,,1950,Drama,Less,,English
ראשומון,Rashômon,,1950,Drama,OK,,Asian
שדרות סנסט,Sunset Blvd.,Sunset Boulevard,1950,Drama,Less,William Holden,English
הכל אודות חווה,All About Eve,,1950,Drama,Less,Bette Davis,English
ראשומון,Rashômon,,1950,Drama,Less,Akira Kurosawa,English
הלהבה והחץ,The Flame and the Arrow,,1950,Adventure,OK,Burt Lancaster,English
אי המטמון,Treasure Island,,1950,Adventure,Less,,English
פחד במה,Stage Fright,,1950,Thriller,Less,Marlene Dietrich,English
ריו גרנדה,Rio Grande,,1950,War,OK,John Wayne,English
סינדרלה,Cinderella,,1950,Animated,Very good,,English
אבי הכלה,Father of the Bride,,1950,Comedy,OK,Spencer Tracy,English
חשמלית ושמה תשוקה,A Streetcar Named Desire,,1951,Drama,Less,Marlon Brando,English
המלכה האפריקנית,The African Queen,,1951,Drama,Less,Katharine Hepburn,English
היום בו עמדה האדמה,The Day the Earth Stood Still,,1951,SF,OK,,English
,An American in Paris,,1951,Musical,OK,Gene Kelly,English
בריביירה,On the Riviera,,1951,Musical,Less,Danny Kaye,English
זרים ברכבת,Strangers on a Train,,1951,Thriller,Less,Alfred Hitchcock,English
עליזה בארץ הפלאות,Alice in Wonderland,,1951,Animated,Good,,English
אייבנהו,Ivanhoe,,1952,Drama,Pass,Elizabeth Taylor,English
,Hans Christian Andersen,,1952,Musical,OK,Danny Kaye,English
שיר אשיר בגשם,Singin' in the Rain,,1952,Musical,OK,Gene Kelly,English
בצהרי היום,High Noon,,1952,Western,OK,Gary Cooper,English
אורות הבמה,Limelight,,1952,Comedy,Less,Charles Chaplin,English
חופשה ברומא,Roman Holiday,,1953,Drama,Less,Audrey Hepburn,English
,Salome,,1953,Drama,Less,Rita Hayworth,English
,The War of the Worlds,,1953,SF,OK,,English
סטלאג 17,Stalag 17,,1953,War,OK,William Holden,English
,20000 Leagues Under the Sea,,1954,Adventure,OK,,English
,A Star Is Born,,1954,Musical,OK,Judy Garland,English
אליבי,Dial M for Murder,,1954,Thriller,OK,Grace Kelly,English
חלון אחורי,Rear Window,,1954,Thriller,Very good,Alfred Hitchcock,English
שבעת הסמוראים,Shichinin no Samurai,The Seven Samurai,1954,War,Great,,English
ורה קרוז,Vera Cruz,,1954,Western,OK,Gary Cooper,English
חוות החיות,Animal Farm,,1954,Animated,Very good,,English
סברינה,Sabrina,,1954,Comedy,OK,Audrey Hepburn,English
לילה וערפל,Nuit et brouillard,,1955,Documentry,OK,,French
,Du rififi chez les hommes,Rififi,1955,Drama,Less,,French
קדמת עדן,East of Eden,,1955,Drama,Less,James Dean,English
מרד הנעורים,Rebel Without a Cause,,1955,Drama,Less,James Dean,English
,Oklahoma!,,1955,Musical,Less,,English
ליל הצייד,The Night of the Hunter,,1955,Thriller,OK,Robert Mitchum,English
לתפוס גנב,To Catch a Thief,,1955,Thriller,OK,Cary Grant,English
,To Hell and Back,,1955,War,Less,Audie Murphy,English
היפהפייה והיחפן,Lady and the Tramp,,1955,Animated,Very good,,English
1984,1984,,1956,Drama,Less,,English
ענק,Giant,,1956,Drama,Less,James Dean,English
עשרת הדיברות,The Ten Commandments,,1956,Drama,Good,Charlton Heston,English
,Around the World in Eighty Days,,1956,Adventure,OK,,English
הפלנטה האסורה,Forbidden Planet,,1956,SF,Less,Leslie Nielsen,English
ליצן החצר,The Court Jester,,1956,Musical,OK,Danny Kaye,English
המלך ואני,The King and I,,1956,Musical,OK,Yul Brynner,English
האיש שידע יותר מדי,The Man Who Knew Too Much,,1956,Thriller,Good,James Stewart,English
הנאשם,The Wrong Man,,1956,Thriller,Less,Henry Fonda,English
,A Town Like Alice,,1956,War,OK,,English
,Reach for the Sky,,1956,War,OK,,English
שנים עשר המושבעים,12 Angry Men,,1957,Drama,Good,Henry Fonda,English
החותם השביעי,Det sjunde inseglet,The Seventh Seal,1957,Drama,OK,,Norw-Fin-Swed
לילות כביריה,Le notti di Cabiria,The Nights of Cabiria,1957,Drama,OK,,Italian
תותי בר,Smultronstället,Wild Strawberries,1957,Drama,Less,,Norw-Fin-Swed
,Top Secret Affair,,1957,Drama,OK,Kirk Douglas,English
עד התביעה,Witness for the Prosecution,,1957,Drama,Good,Marlene Dietrich,English
שבילי התהילה,Paths of Glory,,1957,War,OK,Kirk Douglas,English
הגשר על הנהר קוואי,The Bridge on the River Kwai,,1957,War,Very good,William Holden,English
כס הדמים,Kumonosu Jo,Throne of Blood,1957,Action,Good,,Asian
,The Bachelor Party,,1957,Comedy,Less,,English
,The Delicate Delinquent,,1957,Comedy,OK,Jerry Lewis,English
,High School Confidential!,,1958,Drama,OK,Russ Tamblyn,English
,Some Came Running,,1958,Drama,Less,Frank Sinatra,English
,"The Long, Hot Summer",,1958,Drama,OK,Paul Newman,English
המבצר הנסתר,Kakushi Toride no san Akunin,Three Rascals in the Hidden Fortress,1958,Adventure,Good,,Asian
ורטיגו,Vertigo,,1958,Thriller,OK,James Stewart,English
הירושימה אהובתי,Hiroshima mon amour,,1959,Drama,OK,,French
400 המלקות,Les quatre cents coups,The 400 Blows,1959,Drama,Less,,English
המלך שלמה ומלכת שבא,Solomon and Sheba,,1959,Drama,Less,Yul Brynner,English
בן חור,Ben-Hur,,1959,Drama,Good,Charlton Heston,English
,Compulsion,,1959,Thriller,OK,Orson Welles,English
מזימות בינלאומיות,North by Northwest,,1959,Thriller,Very good,Alfred Hitchcock,English
ריו בראבו,Rio Bravo,,1959,Western,OK,John Wayne,English
400 המלקות,The 400 Blows,Les quatre cents coups,1959,Western,OK,,English
חמים וטעים,Some Like It Hot,,1959,Comedy,Great,Jack Lemmon,English
,The Fugitive Kind,,1960,Drama,Less,Marlon Brando,English
אקסודוס,Exodus,,1960,Drama,Good,Paul Newman,English
ה 11 של דני אושן,Ocean's Eleven,Ocean's 11,1960,Adventure,Less,Frank Sinatra,English
פסיכו,Psycho,,1960,Thriller,OK,Anthony Perkins,English
ספרטקוס,Spartacus,,1960,War,Very good,Kirk Douglas,English
שבעת המופלאים,The Magnificent Seven,,1960,Western,OK,Charles Bronson,English
,The Unforgiven,,1960,Western,Less,Burt Lancaster,English
סינדרפלה,Cinderfella,,1960,Comedy,OK,Jerry Lewis,English
נער המעלית,The Bellboy,,1960,Comedy,OK,Jerry Lewis,English
,The Little Shop of Horrors,,1960,Comedy,Less,,English
זוהר בדשא,Splendor in the Grass,,1961,Drama,Good,Natalie Wood,English
אדי פלסון,The Hustler,,1961,Drama,Good,Paul Newman,English
,"Atlantis, the Lost Continent ",,1961,Adventure,OK,,English
,Il ladro di Bagdad,The Thief of Baghdad,1961,Adventure,Bad,,English
,Mysterious Island,,1961,SF,Less,,English
סיפור הפרברים,West Side Story,,1961,Musical,Good,Natalie Wood,English
תותחי נברון,The Guns of Navarone,,1961,War,OK,Gregory Peck,English
אבא מתארס,The Parent Trap,,1961,Family,Less,,English
ארוחת בוקר בטיפאני,Breakfast at Tiffany's,,1961,Comedy,OK,Audrey Hepburn,English
איש הציפורים מאלקטרז,Birdman of Alcatraz,,1962,Drama,OK,Burt Lancaster,English
ז'ול וג'ים,Jules et Jim,,1962,Drama,Less,,French
מות הזמיר,To Kill a Mockingbird,,1962,Drama,Less,Gregory Peck,English
הטארי,Hatari!,,1962,Adventure,Less,John Wayne,English
